No.,Title,Synopsis,Action,War,Adventure,Comedy,Drama,Romance,Sci-Fi,Fantasy,Horror,Mystery,Crime,Animation,Documentary,Rate
121,Sing 2 (2021),Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,0,0,7.7,7.3,0,0,0,0,0,0,0,8.2,0,7.4
122,Sing (2016),"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",0,0,0,8.1,0,0,0,0,0,0,0,7.4,0,7.1
123,Minions: The Rise of Gru (2022),The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,0,0,7.3,8.2,0,0,0,0,0,0,0,6.8,0,6.6
124,Hotel Transylvania (2012),"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.",0,0,7.4,7.1,0,0,0,0,0,0,0,9,0,7
125,The Lion King (1994),"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",0,0,8.3,0,7,0,0,0,0,0,0,9.2,0,8.5
126,Miti Winyan Mahatsachan (2001),"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",0,0,9.4,0,0,0,0,0,0,0,0,6.4,0,8.6
127,Megamind (2010),"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.",7.4,0,0,8.1,0,0,0,0,0,0,0,0,0,7.3
128,Ratatouille (2007),A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,0,0,9.4,7.6,0,0,0,0,0,0,0,0,0,8.1
129,Beauty and the Beast (1991),A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,0,0,0,0,7.4,6.8,0,9.4,0,0,0,8.1,0,8
130,Ma-Hud-Sa-Jan-A-Rom-On-La-Weng (I) (2015),"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",0,0,7.7,8.6,0,0,0,0,0,0,0,7.5,0,8.2
131,Turning Red (2022),A 13-year-old girl named Meilin turns into a giant red panda whenever she gets too excited.,0,0,7.2,6.8,0,0,0,0,0,0,0,6.8,0,7
132,Toy Story (1995),A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,0,0,8.2,7.6,0,0,0,0,0,0,0,9.6,0,8.3
